ImageName;FigureExist;FigureInPlaneSheet;FigureInFrame;FigureShape
01.jpg;Yes;Yes;No;Full
02.jpg;No;No;No;-
03.jpg;No;No;No;-
04.jpg;No;No;No;-
05.jpg;No;No;No;-
06.jpg;No;No;No;-
07.jpg;No;No;No;-
08.jpg;Yes;Yes;Yes;Full
09.jpg;No;No;No;-
10.jpg;No;No;No;-
11.jpg;No;No;No;-
12.jpg;No;No;No;-
13.jpg;Yes;Yes;Yes;Full
14.jpg;No;No;No;-
15.jpg;No;No;No;-
16.jpg;Yes;Yes;Yes;Full
17.jpg;No;No;No;-
18.jpg;No;No;No;-
19.jpg;No;No;No;-
20.jpg;No;No;No;-
21.jpg;No;No;No;-
22.jpg;No;No;No;-
23.jpg;No;No;No;-
24.jpg;No;No;No;-
25.jpg;No;No;No;-
